Restaurant Name,Rating,Cuisine,Average Price,Average Delivery Time,Safety Measure,Location
Sardar G Malai Chaap Junction,4.1,"North Indian, Rolls, Momos",₹150 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Agra
What The Food,3.8,"Chinese, Rolls, Momos, Burger, Fast Food",₹150 for one,39 min,Follows all Max Safety measures to ensure your food is safe,Agra
Pizza Pasta Day,4,"Pizza, Pasta, Fast Food, Beverages",₹150 for one,39 min,Follows all Max Safety measures to ensure your food is safe,Agra
Sri Dauji Mishthan Bhandar,4.2,"Mithai, North Indian",₹150 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Agra
Guru Kripa Yadav Dhaba,3.9,North Indian,₹150 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Agra
Cake & More,4.3,"Bakery, Fast Food, Ice Cream, Desserts, Beverages",₹150 for one,15 min,Restaurant partner follows WHO protocol,Agra
Hot Pizza,3.4,"Pizza, Fast Food, Desserts, Beverages, Shake",₹150 for one,58 min,Restaurant partner follows WHO protocol,Agra
Pizza Delight Cafe And Restaurant,4.1,"Pizza, Fast Food",₹150 for one,53 min,Follows all Max Safety measures to ensure your food is safe,Agra
Dubey Ji Da Dhaba,3.8,North Indian,₹100 for one,26 min,Restaurant partner follows WHO protocol,Agra
New Moon Light Restaurant,3.5,North Indian,₹100 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Agra
Subway,4,"Sandwich, Healthy Food, Salad, Wraps, Beverages",₹100 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Agra
Papa Ji Da Dhaba,4.2,North Indian,₹100 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Agra
Cakeology Cake,3.9,"Bakery, Desserts",₹100 for one,32 min,Restaurant partner follows WHO protocol,Agra
The Greener Side,4.1,"Cafe, Fast Food, Burger, Sandwich, Desserts, Beverages, Waffle",₹100 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Agra
Om Sai Lassi And Juice Corner,4.3,Juices,₹100 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Agra
The Burger Company,4,"Burger, Fast Food, Momos, Pizza, Sandwich, Desserts, Beverages, Shake",₹100 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Agra
European Bakery,3.3,"Bakery, Desserts",₹100 for one,46 min,Follows all Max Safety measures to ensure your food is safe,Agra
Manoj Dhaba,3.9,North Indian,₹100 for one,26 min,Follows all Max Safety measures to ensure your food is safe,Agra
Shiva Bhojnalaya,3.6,North Indian,₹100 for one,54 min,Follows all Max Safety measures to ensure your food is safe,Agra
Anant Restaurant,4.1,"South Indian, Street Food",₹100 for one,26 min,Restaurant partner follows WHO protocol,Agra
Haldiram's,4,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai, Beverages",₹200 for one,21 min,Follows all Max Safety measures to ensure your food is safe,Agra
Kanak Misthan Bhandar,3.9,"Street Food, Mithai, Fast Food",₹100 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Agra
Atlantic Foods,4.2,"Bakery, Desserts, Fast Food, Beverages",₹200 for one,24 min,Follows all Max Safety measures to ensure your food is safe,Agra
Agarwal Food Court,3.9,"South Indian, Chinese, Fast Food, Street Food, Beverages, North Indian",₹250 for one,21 min,Follows all Max Safety measures to ensure your food is safe,Agra
Sri Dauji's Chatpataa,4.1,"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts",₹200 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Agra
Bakingo,4.4,"Bakery, Desserts",₹150 for one,50 min,Follows all Max Safety measures to ensure your food is safe,Agra
Bhoji,4.2,"North Indian, Fast Food, Burger, Shake",₹150 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Agra
Ratan Pizza,4,"Pizza, Fast Food, Street Food, Momos, Desserts, Beverages",₹200 for one,39 min,Follows all Max Safety measures to ensure your food is safe,Agra
Royal Rolls,3.9,"Rolls, Fast Food, Beverages, Pizza, Burger",₹150 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Agra
Deviram Sweets & Restaurant,4.2,"North Indian, Mithai, Fast Food, Beverages, Desserts",₹300 for one,15 min,Restaurant partner follows WHO protocol,Agra
MKOP,4.4,"Bakery, Desserts, Street Food, Rolls, Beverages",₹150 for one,17 min,Restaurant partner follows WHO protocol,Agra
The Belgian Waffle Co.,4.4,"Waffle, Ice Cream, Desserts, Beverages",₹200 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Agra
Desire Bakers,3.9,"Bakery, Desserts",₹50 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Agra
Ichchha Veg Biryani & Fast Food,3.9,Biryani,₹50 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Agra
Master Chef Street Food (Chef Arjun ),3.9,"Fast Food, Italian, Pizza, Pasta, Beverages",₹50 for one,21 min,Follows all Max Safety measures to ensure your food is safe,Agra
Deviram Food Circle,4,"Street Food, Chinese, South Indian",₹50 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Agra
Yum Yum Vada Pav No.1,3.5,Street Food,₹50 for one,36 min,Restaurant partner follows WHO protocol,Agra
The Fresh Pizza,3.8,"Fast Food, Pizza",₹50 for one,30 min,Restaurant partner follows WHO protocol,Agra
Panchhi Petha,4.4,Mithai,₹50 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Agra
Momos Point,4.1,Momos,₹50 for one,26 min,Restaurant partner follows WHO protocol,Agra
Solanki Petiz,3.8,Fast Food,₹50 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Agra
Thali Adda,4.1,"North Indian, Desserts, Biryani",₹50 for one,31 min,Restaurant partner follows WHO protocol,Agra
Food Stock Xchange,4.1,"Chinese, Rolls, North Indian, Biryani, Mughlai, Fast Food",₹50 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Agra
Pushpak Misthan Bhandar Sweets And Snack,4.3,Mithai,₹50 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Agra
Yadav Dhaba,3.9,North Indian,₹100 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Agra
Deviram Sweets & Food Plaza,4.3,"Mithai, North Indian, Fast Food, Chinese, South Indian, Biryani",₹100 for one,29 min,Follows all Max Safety measures to ensure your food is safe,Agra
Sai Food Hub,3.4,"Fast Food, Chinese, Bakery",₹100 for one,45 min,Follows all Max Safety measures to ensure your food is safe,Agra
Karchi,4.2,"North Indian, Mughlai, Kebab, Biryani, Fast Food",₹100 for one,35 min,Restaurant partner follows WHO protocol,Agra
Sydney Cafe,3.7,"Pizza, Fast Food, Street Food",₹100 for one,65 min,Follows all Max Safety measures to ensure your food is safe,Agra
Tomars Hygiene Kitchen,4.2,"North Indian, Mughlai",₹100 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Agra
Chimmanlal Puri Wale-Chhoti Dukaan,3.7,"North Indian, Street Food",₹100 for one,23 min,Follows all Max Safety measures to ensure your food is safe,Agra
Romos Bistro,3.8,"North Indian, Chinese",₹100 for one,46 min,Follows all Max Safety measures to ensure your food is safe,Agra
Shayhub,4,"Fast Food, Beverages, Pizza, Sandwich",₹100 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Agra
New Agra Fast Food & Restaurant,4,"North Indian, South Indian",₹100 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Agra
Shri Thakur Ji Misthan Bhandar,3.7,"Mithai, North Indian, South Indian, Fast Food, Chinese, Street Food, Pizza",₹100 for one,32 min,Restaurant partner follows WHO protocol,Agra
D'zurt Cafe,4.2,"Cafe, Fast Food, Burger, Sandwich, Wraps, Momos, Desserts, Street Food",₹100 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Agra
Sasural The Restro,3.7,"North Indian, Chinese, Momos, Fast Food, Pizza, Burger, Beverages",₹250 for one,48 min,Follows all Max Safety measures to ensure your food is safe,Agra
Chanchal Hotel,3.7,North Indian,₹250 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Agra
Le Vera Pizza,4,"Pizza, Chinese, Fast Food, Beverages",₹250 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Agra
Om Sai Food Court,4.2,"Fast Food, Street Food",₹250 for one,45 min,Restaurant partner follows WHO protocol,Agra
Pandit Bhojnalaya,3.7,North Indian,₹250 for one,47 min,Follows all Max Safety measures to ensure your food is safe,Agra
Ratan Pizza,3.8,"Pizza, Fast Food, Bakery",₹250 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Agra
Agra Chat Cafe,3.5,Street Food,₹250 for one,29 min,Restaurant partner follows WHO protocol,Agra
SSS Cafe',4.3,"Pizza, Chinese, Pasta, Sandwich, American, Fast Food, Beverages",₹250 for one,39 min,Follows all Max Safety measures to ensure your food is safe,Agra
Gupta Ji Veg Biriyani and Fast Food,3.8,Biryani,₹250 for one,44 min,Restaurant partner follows WHO protocol,Agra
Gopeshwar Yadav Dhaba Purana,3.6,North Indian,₹250 for one,39 min,Restaurant partner follows WHO protocol,Agra
Vadilal Ice Creams,4.4,"Ice Cream, Desserts",₹250 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Agra
Agarwal Chat Bhandhar,4.1,"Street Food, South Indian",₹250 for one,24 min,Follows all Max Safety measures to ensure your food is safe,Agra
NIC Ice Creams,4.4,"Ice Cream, Desserts",₹100 for one,20 min,Restaurant partner follows WHO protocol,Agra
Sargra Online Cake Delivery,3.6,Bakery,₹100 for one,42 min,Follows all Max Safety measures to ensure your food is safe,Agra
Divyanshi Fast Food Center,3.7,"Chinese, Fast Food, Pizza, Burger",₹100 for one,49 min,Restaurant partner follows WHO protocol,Agra
Brijwasi Sweets & Restaurant,3.9,"Mithai, North Indian, South Indian, Fast Food, Shake",₹100 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Agra
Gyani Dhaba,4,North Indian,₹100 for one,46 min,Follows all Max Safety measures to ensure your food is safe,Agra
Cake Factory,3.7,Bakery,₹100 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Agra
MMC Me N My Choice,4.1,Bakery,₹100 for one,32 min,Restaurant partner follows WHO protocol,Agra
Agra Fast Food And Restaurant,3.8,"North Indian, South Indian",₹100 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Agra
Tirupati's Dosa Factory,3.9,"South Indian, Chinese, Beverages",₹100 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Agra
Veer Ji Malai Chaap Wale,3.6,"Chinese, North Indian, Fast Food, Momos, Rolls, Biryani",₹100 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Agra
The Mud Shakes,4.3,"Beverages, Shake, Waffle, Fast Food",₹100 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Agra
Kings Kulfi And Icecreams,4.5,"Ice Cream, Desserts",₹100 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Agra
Burger27,4.1,"Burger, Wraps, Sandwich, Fast Food, Beverages",₹150 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Agra
Laziz Family Restaurant,3.6,North Indian,₹150 for one,29 min,Follows all Max Safety measures to ensure your food is safe,Agra
Chhabra Bakers And Confectioners,4.1,"Bakery, Desserts, Fast Food, Pizza, Street Food",₹150 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Agra
Chainess,4.2,"Street Food, Sandwich, Fast Food, Tea, Beverages",₹150 for one,26 min,Follows all Max Safety measures to ensure your food is safe,Agra
Pizza Hub,3.3,"Pizza, Fast Food",₹150 for one,44 min,Follows all Max Safety measures to ensure your food is safe,Agra
Chennai Express,3.6,"South Indian, North Indian, Chinese",₹150 for one,42 min,Follows all Max Safety measures to ensure your food is safe,Agra
Mama's Parantha,3.8,"North Indian, Fast Food, Sandwich, Chinese",₹150 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Agra
The Briston Kitchen,3.9,"North Indian, Fast Food, Chinese, Momos",₹150 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Agra
Djlecious,4.3,"Bakery, Desserts, Beverages",₹150 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Agra
Hashim Restaurant,4,North Indian,₹150 for one,29 min,Follows all Max Safety measures to ensure your food is safe,Agra
Shyam Ji Restaurant,3.4,"North Indian, Chinese, South Indian, Desserts, Ice Cream, Beverages",₹150 for one,42 min,Follows all Max Safety measures to ensure your food is safe,Agra
Kaila Devi Fast Food Corner,4,"North Indian, South Indian",₹150 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Agra
Maa Vaishno Restaurant,3.9,North Indian,₹100 for one,32 min,Restaurant partner follows WHO protocol,Agra
Pizza House Family Restautant,3,"Pizza, Burger, Beverages, Shake, Bakery",₹100 for one,45 min,Follows all Max Safety measures to ensure your food is safe,Agra
Romo's Bistro,3.9,"North Indian, Chinese, Fast Food, Momos, Rolls",₹100 for one,47 min,Follows all Max Safety measures to ensure your food is safe,Agra
Cake & More,4.2,"Shake, Fast Food, Beverages, Pizza, Desserts",₹100 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Agra
Amritsari Tandoori Kulcha Wa Choor Choor Naan,4.1,"North Indian, Healthy Food",₹100 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Agra
Biryani By Kilo,4.4,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",₹100 for one,70 min,Follows all Max Safety measures to ensure your food is safe,Agra
Vada Pav King,4.3,"Fast Food, Street Food, Beverages",₹100 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Agra
Giani Ice Cream,3.9,"Desserts, Ice Cream",₹100 for one,22 min,Follows all Max Safety measures to ensure your food is safe,Agra
Retro Thrill Cafe,3.8,"Fast Food, Pizza, Burger, Rolls, Chinese, North Indian, Biryani, Beverages",₹100 for one,51 min,Follows all Max Safety measures to ensure your food is safe,Agra
Brie,3.8,"Chinese, Fast Food, Desserts, Beverages, Burger, Sandwich, Continental, Shake",₹100 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Agra
Bikaner Express,3.8,"North Indian, South Indian, Chinese, Street Food, Beverages",₹100 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Agra
AK Pizza Wala,4,"Pizza, Burger, Fast Food",₹100 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Agra
Pinch Of Spice,4.2,"North Indian, Chinese, Mughlai",₹500 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Agra
Quality Paratha & Fast Food Restaurant,4.1,"North Indian, Chinese, Rolls, Fast Food",₹500 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Agra
Pandit Bhojnalaya,3.6,"North Indian, South Indian, Chinese",₹500 for one,47 min,Restaurant partner follows WHO protocol,Agra
Bhagat Halwai,4,"Mithai, Chinese, South Indian, Street Food, Fast Food, Beverages",₹500 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Agra
Rolls King,3.8,"North Indian, Rolls, Fast Food",₹500 for one,29 min,Follows all Max Safety measures to ensure your food is safe,Agra
A & C Burger Shoppee,4.1,"Fast Food, Pizza, Burger, Sandwich, Beverages, Shake",₹500 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Agra
Pizza Cafe,4.1,"Pizza, Fast Food, Beverages",₹500 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Agra
Punjabi Chaap Bistro,4.1,"North Indian, Biryani, Rolls, Momos, Shake",₹500 for one,23 min,Follows all Max Safety measures to ensure your food is safe,Agra
Dilshad Biryani,4.2,Biryani,₹500 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Agra
Delhi 6,4.1,"North Indian, Street Food",₹500 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Agra
Dry & Gravy,3.7,"Chinese, Fast Food, Beverages",₹500 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Agra
Vasudev Foods,3.4,"Street Food, Sandwich, Beverages, Burger, Italian, North Indian, Pasta, Momos",₹500 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Agra
Guru Kripa Bhojnalaya,3.9,North Indian,₹50 for one,42 min,Follows all Max Safety measures to ensure your food is safe,Agra
Urban Vada Pav,3.9,"Street Food, Wraps, Sandwich, Shake, Momos, Fast Food, Pizza",₹50 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Agra
EATCO.,3.6,"North Indian, Fast Food, Mughlai, Rolls",₹50 for one,47 min,Restaurant partner follows WHO protocol,Agra
Spiced Brew,4.3,"Coffee, Fast Food, Momos, Shawarma, Burger, Sandwich, Waffle, Shake",₹50 for one,29 min,Follows all Max Safety measures to ensure your food is safe,Agra
Jain Restaurant,4,"North Indian, South Indian",₹50 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Agra
Rahul Dhaba,3.7,North Indian,₹50 for one,59 min,Restaurant partner follows WHO protocol,Agra
Raj Rasoi,4,"North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages, Shake",₹50 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Agra
Shri Mangalam Dhabha,3.6,North Indian,₹50 for one,43 min,Restaurant partner follows WHO protocol,Agra
Shri Balaji Juice Bhandar,4.1,"Shake, Juices",₹50 for one,22 min,Restaurant partner follows WHO protocol,Agra
Faasos - Wraps & Rolls,4.2,"Rolls, Wraps, North Indian",₹50 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Agra
Bhagwan Corner Cakes And Pastries,3.3,"Bakery, Desserts",₹50 for one,45 min,Restaurant partner follows WHO protocol,Agra
M/s Guru Mahima Shudh Shakari Bhojnalay,3.4,North Indian,₹50 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Agra
Pakeeza Meat House,4,Mughlai,₹300 for one,20 min,Follows all Max Safety measures to ensure your food is safe,Agra
Vadilal Ice Creams,4.3,"Ice Cream, Desserts, Beverages",₹300 for one,28 min,Restaurant partner follows WHO protocol,Agra
Cake Company,3.6,"Desserts, Bakery",₹300 for one,39 min,Follows all Max Safety measures to ensure your food is safe,Agra
Gopaldas Parathe Wale,3.8,North Indian,₹300 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Agra
Hungernomia,3.7,"Burger, Fast Food, Pizza, Sandwich, Wraps, Street Food, Beverages, Desserts",₹300 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Agra
The Mud Cafe,3.9,"Sandwich, Momos, Burger, Fast Food, Beverages, Desserts",₹300 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Agra
Shubh Anand Hi Anand Bhojnalaya,4,North Indian,₹300 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Agra
Cheesecake & Co.,4.4,Bakery,₹300 for one,37 min,Restaurant partner follows WHO protocol,Agra
Amritsari Kulcha Junction,4,"North Indian, Chinese, Rolls, Beverages",₹300 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Agra
Cakery N Bakery,3.8,"Bakery, Desserts, Coffee, Sandwich, Fast Food",₹300 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Agra
Bhagwan Cake Corner,3.4,"Bakery, Desserts",₹300 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Agra
North Darbar,3.5,"North Indian, Biryani, Kebab",₹300 for one,47 min,Follows all Max Safety measures to ensure your food is safe,Agra
Agra Biryani Hotspot,3.9,"Biryani, North Indian, Mughlai, Kebab",₹300 for one,38 min,Restaurant partner follows WHO protocol,Agra
Bistro 57,4,"Cafe, Beverages, Pizza, Fast Food",₹300 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Agra
Ram Chinese Food Center,4.1,Chinese,₹300 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Agra
The Rice Bowl,4.3,"North Indian, Biryani, Rolls, Momos",₹300 for one,44 min,Follows all Max Safety measures to ensure your food is safe,Agra
Chow's Kitchen,4,"Chinese, Thai, Asian, Momos, Healthy Food, Rolls, Burger, Sichuan",₹300 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Agra
Yo Yo Foods,3.9,"North Indian, Chinese, Pizza, Sandwich, Fast Food, Street Food, South Indian, Shake",₹300 for one,50 min,Restaurant partner follows WHO protocol,Agra
Chatorelal Food Court,3.9,"South Indian, Chinese, Fast Food, Street Food, North Indian, Momos",₹300 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Agra
Break A Bread,4.2,"Fast Food, Chinese, Burger, Rolls, Beverages",₹300 for one,29 min,Follows all Max Safety measures to ensure your food is safe,Agra
Deviram Sweets,4.2,"Mithai, South Indian, Street Food, North Indian",₹300 for one,24 min,Follows all Max Safety measures to ensure your food is safe,Agra
Babu Misthan Bhandar,4.2,Street Food,₹300 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Agra
Cafe Little Bites,3.8,"Fast Food, Pizza, Sandwich, Momos, Street Food, Chinese, North Indian, Beverages",₹300 for one,49 min,Follows all Max Safety measures to ensure your food is safe,Agra
Abhishek Dhaba,3.8,North Indian,₹300 for one,26 min,Follows all Max Safety measures to ensure your food is safe,Agra
Ram Rasoi Yadav Dhaba Purana,3.7,North Indian,₹100 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Agra
FNP Cakes By Ferns N Petals,3.9,"Bakery, Desserts",₹100 for one,23 min,Follows all Max Safety measures to ensure your food is safe,Agra
Book Meal,3.7,"Chinese, North Indian, Beverages",₹100 for one,37 min,Restaurant partner follows WHO protocol,Agra
Nazeer Foods,3.9,"North Indian, Fast Food, Biryani",₹100 for one,33 min,Restaurant partner follows WHO protocol,Agra
Temptation,4.1,"North Indian, Chinese, Fast Food",₹100 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Agra
Om Sai Ram Bhojnalaya,3.7,North Indian,₹100 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Agra
China Town,3.8,"Fast Food, Chinese",₹100 for one,38 min,Follows all Max Safety measures to ensure your food is safe,Agra
Square 99 Scoops & Cafe,3.9,"Chinese, North Indian, Fast Food",₹100 for one,37 min,Restaurant partner follows WHO protocol,Agra
Daddy Plz,3.8,"North Indian, Fast Food, Chinese, Momos, South Indian, Shake, Beverages",₹100 for one,49 min,Restaurant partner follows WHO protocol,Agra
Chopstick,3.4,"Chinese, Momos, Fast Food, North Indian, Street Food",₹100 for one,51 min,Follows all Max Safety measures to ensure your food is safe,Agra
